Taxa,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
CDBN_034_IS_4924_B,-143.126288815847,-14.051424313083515,24.431800494621246,20.638365891022882,9.220215497238573,-82.5587838025786,13.213703370712791,52.516309245331655,5.009951015808726,35.22659414540602
CDBN_035_ISB_1145,54.52809929233935,-129.97038608649314,7.254560149600085,23.38647683294636,-38.3663797289734,-138.89273708754695,13.005792340509917,38.764874948304026,5.171881155544936,41.29582160168428
CDBN_036_ISB_1252,-165.82976848177674,-61.44462374776457,15.275547401194949,-11.314124624972491,2.4827082015407407,-93.66065458446391,22.861296256585312,24.883247713771578,-18.801302400454954,40.82909985720501
CDBN_037_ISB_1256,-162.6244447998835,-28.087990595987595,70.47192563229196,14.424340597618768,-38.618723592617016,-25.503188662884103,70.08783694126693,-116.79690950939705,-35.57148770941482,-26.106889730522155
CDBN_038_ISB_1614,-150.46901300306558,-60.64805140918598,42.75352612952641,-38.424724218832246,-97.27542671529558,-14.826253381660063,-156.0108336507118,-21.34109424423868,-82.60426043236939,-66.9583703775402
CDBN_039_ISB_1814,-173.57938534399386,-94.49110319754872,32.47445891011828,-32.43231525231077,-108.5593929287664,55.27501521474162,-133.34221639483584,-4.054128659733204,-18.104958007602562,-65.23369488383196
CDBN_040_ISB_2001,137.9710443213638,-102.82126972254699,117.24830066457884,-27.619343711190595,-6.862663717888637,-119.08777362101233,81.96404081157013,15.987019469784014,-80.55058890658127,77.17158430928167
CDBN_042_ISB_254_1,-141.00419653253624,-24.910384295906393,18.595994514513944,-36.45539177014559,-28.59046407081373,-69.44396293845314,-112.65294499234419,10.847673566867467,-45.65870723122087,-3.3256691181051137
CDBN_043_ISB_254_4,-136.35956631948574,74.82781311511653,148.34445016615902,135.76844853765618,-22.545092928063596,34.6588245906129,-161.08377683127114,-36.58321382574281,-31.798644578214947,-49.55356155115686
CDBN_044_ISB_2598,-142.94986584363662,-0.7856020331534053,63.09622372003977,-59.4557363896913,-42.060820945932434,-67.50240708516864,-53.87122211947301,-6.38119770741967,-61.07159339178656,-17.387815825196554
CDBN_045_ISB_486,-173.96499318330117,-92.9125504187396,45.43093112489684,-16.411951228149082,-54.66221262251278,0.9638946376414251,-90.91748722472461,-134.66711937240595,-55.377210307882635,-52.94424049951753
CDBN_046_ISB_5172,-53.14611395549565,-34.85372274518248,30.24696407228904,-43.820543994232494,35.07359958613571,-97.02573917139642,-12.311514518598438,-0.12880272686074692,-40.75663028688644,-70.15498369424886
CDBN_047_ISB_565,-175.00860764467393,-69.04256542723786,19.835767932481566,-24.733477062770564,-6.401786097808664,-10.539573736843712,-69.4336558518818,-63.55696398772361,-10.863632309785917,-80.47659073856684
CDBN_048_ISB_5893,101.98544152056495,26.38276297192798,153.868609568752,207.1518493653651,32.29149758068346,-83.8074078208447,-28.730296072769814,94.9963002875047,56.62621860861051,15.563315543446464
CDBN_049_UNS_117,113.58522483310288,-115.82401815079743,123.73772607457545,-1.1800011423601175,-29.635411742486564,-110.99196632131579,52.16995970545313,-38.50006478163451,171.45784640198158,115.33732567445836
CDBN_050_Aurora,-154.0253614329604,-28.592271723365553,114.18003335665414,31.25946916633035,-38.67525583726107,-83.1700391755426,89.19633407378487,-6.360180640906824,48.29236468032635,11.759097881044609
CDBN_053_UI320,63.303715450871714,1.106119351485317,110.22130760563834,149.36731068372606,96.53324745822816,196.27507834919598,6.851860674567882,-48.149873677065614,27.027182596458477,62.40451854110258
CDBN_054_23ST_27,99.20777800012978,-76.88070403871097,107.88505556965568,-79.57967632245067,139.0974497490954,-92.87545279025498,3.4599409448934995,-20.24976872772133,35.786434347471634,75.25652510863101
CDBN_055_IP09_3,102.16689632613715,-118.89471010047563,106.59032270076587,88.05944632341952,-22.28778611665913,-39.47485189422092,68.52529655163299,-198.56030053215696,16.07387863898449,-36.034520827029304
CDBN_056_Jet_Black,-165.12090710992925,6.154228242173564,132.37072784118791,46.70861876176587,10.42736167889096,-27.640856406525483,36.60174471506201,-190.9812509111119,8.719479019636879,-5.900517058719186
CDBN_058_Rio_Rojo,54.132891157501795,76.68665345821299,-21.803910936185776,-91.01430559045086,94.21950488660319,3.854578406259614,-5.771227646554134,-135.5219487528896,-52.93477544767826,77.12057159191744
CDBN_059_SF103_8,25.939130684279494,-42.34438177993753,71.51108652667017,-88.89625355379486,28.969369356613416,-44.33380871409855,25.871663903032143,-6.719275391158686,-76.52747580252074,-114.67195649438943
CDBN_062_Fathom,-162.38598547074938,-57.27909984592798,-23.60421461371928,-23.702739997047352,5.854020877728125,61.71905012164272,3.713333516847261,35.8204299799399,-3.2558178290080773,0.7426007286178226
CDBN_064_Rexeter,-225.1897198574737,-55.25199192641105,47.27702666951255,11.165161158054238,57.56022794130599,-44.69004137956081,109.33805673905589,51.43214040132847,128.30740934152928,30.050481371878877
