Site,Location_code,MATCH,Latitude,Longitude,Year,Date,Heritability
WYPO,WYPO,1,44.77592,-108.758948,1986,1986-01-01,NA
WYRI,WYRI,1,43.0281,-108.426538,1986,1986-01-01,0.6572673
WYTO,WYTO,1,42.0815,-104.219912,1986,1986-01-01,NA
ABBI,ABBI,1,49.869621,-111.377099,1987,1986-01-01,0.8833691
ABBR,ABBR,1,50.549506,-111.852109,1987,1987-01-01,0
ABLE,ABLE,1,49.69886,-112.763594,1987,1987-01-01,NA
ABVA,ABVA,1,50.052864,-112.126564,1987,1987-01-01,NA
AZBO,AZBO,1,32.451195,-109.958609,1987,1987-01-01,NA
AZHE,AZHE,1,31.43833,-110.108139,1987,1987-01-01,0
AZKS,AZKS,1,32.12751,-109.752162,1987,1987-01-01,NA
AZSA,AZSA,1,32.81499,-109.680619,1987,1987-01-01,0.4705153
CACH,CACH,1,39.6903,-121.823782,1987,1987-01-01,3.95E-10
CACO,CACO,1,39.2,-122.02,1987,1987-01-01,NA
CAD2,CAD2,1,38.53505,-121.783175,1987,1987-01-01,NA
CADV,CADV,1,38.53782,-121.756973,1987,1987-01-01,0.7408075
CAIR,CAIR,1,33.6884,-117.722118,1987,1987-01-01,0.7258417
CAOR,CAOR,1,39.62961,-122.005533,1987,1987-01-01,0.39439
CARI,CARI,1,33.96833,-117.339196,1987,1987-01-01,0.1489149
COFC,COFC,1,40.65167,-104.999168,1987,1987-01-01,0.7991164
COFR,COFR,1,39.17892,-108.700073,1987,1987-01-01,0.8258126
IDKI,IDKI,1,42.55103,-114.340004,1987,1987-01-01,0.8352884
IDNA,IDNA,1,43.664948,-116.520451,1987,1987-01-01,NA
IDP2,IDP2,1,43.80256,-116.944202,1987,1987-01-01,NA
IDPA,IDPA,1,43.66495,-116.520451,1987,1987-01-01,0.8662185
IDTF,IDTF,1,42.6065,-114.504587,1987,1987-01-01,0.8843784
KSCO,KSCO,1,39.387209,-101.068435,1987,1987-01-01,NA
KSMA,KSMA,1,39.21192,-96.589243,1987,1987-01-01,0
KSTR,KSTR,1,38.47032,-101.77941,1987,1987-01-01,0.4837053
MBBR,MBBR,1,49.86689,-99.973147,1987,1987-01-01,NA
MBMO,MBMO,1,49.18491,-98.078299,1987,1987-01-01,NA
MIEN,MIEN,1,43.3541,-85.1791,1987,1987-01-01,NA
MIS2,MIS2,1,43.39521,-83.68696,1987,1987-01-01,NA
MISA,MISA,1,43.39521,-83.686963,1987,1987-01-01,0.185505
MNBE,MNBE,1,45.38951,-93.885754,1987,1987-01-01,0
MNCR,MNCR,1,47.80604,-96.60909,1987,1987-01-01,0
MNLA,MNLA,1,44.23915,-95.308206,1987,1987-01-01,0.4206789
MNMO,MNMO,1,45.60179,-95.901515,1987,1987-01-01,0.8200789
MNPE,MNPE,1,46.89022,-95.075698,1987,1987-01-01,0.8200789
MNPR,MNPR,1,46.66384,-95.533428,1987,1987-01-01,NA
MOCL,MOCL,1,36.487915,-89.96273,1987,1987-01-01,NA
MOCO,MOCO,1,38.943,-92.319914,1987,1987-01-01,NA
MOPO,MOPO,1,36.395653,-89.609206,1987,1987-01-01,NA
MTHU,MTHU,1,45.92061,-108.241794,1987,1987-01-01,NA
MTSI,MTSI,1,47.72635,-104.150097,1987,1987-01-01,NA
NDAR,NDAR,1,47.10414,-97.218143,1987,1987-01-01,0.6508364
NDCA,NDCA,1,47.50822,-99.120669,1987,1987-01-01,NA
NDER,NDER,1,47.11533,-97.387892,1987,1987-01-01,NA
NDFA,NDFA,1,46.8994,-96.811921,1987,1987-01-01,NA
NDHA,NDHA,1,47.6331,-97.460334,1987,1987-01-01,0.735152
NDPR,NDPR,1,46.99889,-97.113918,1987,1987-01-01,NA
NEMI,NEMI,1,41.94062,-103.821274,1987,1987-01-01,NA
NENP,NENP,1,41.08757,-100.778668,1987,1987-01-01,NA
NES2,NES2,1,41.89178,-103.678862,1987,1987-01-01,NA
NESB,NESB,1,41.94255,-103.814399,1987,1987-01-01,0
NMFA,NMFA,1,36.68915,-108.307665,1987,1987-01-01,0.3546531
NYFR,NYFR,1,42.52198,-76.330525,1987,1987-01-01,0.2554573
ONEL,ONEL,1,43.6419,-80.401772,1987,1987-01-01,NA
ONEX,ONEX,1,43.31734,-81.506848,1987,1987-01-01,NA
ONGU,ONGU,1,43.54903,-80.213818,1987,1987-01-01,0.6208297
ONHA,ONHA,1,42.02955,-82.900968,1987,1987-01-01,NA
PRIS,PRIS,1,18.46457,-67.052045,1987,1987-01-01,0.4268253
SKOU,SKOU,1,51.47894,-107.050903,1987,1987-01-01,NA
SKSA,SKSA,1,52.13359,-106.609455,1987,1987-01-01,0.6089171
TXCS,TXCS,1,30.540641,-96.427962,1987,1987-01-01,NA
TXLU,TXLU,1,33.6915,-101.826086,1987,1987-01-01,NA
TXMU,TXMU,1,33.45195,-99.614823,1987,1987-01-01,NA
TXVE,TXVE,1,34.080061,-99.368349,1987,1987-01-01,NA
WAOT,WAOT,1,46.79111,-119.033087,1987,1987-01-01,NA
WARO,WARO,1,46.29334,-119.734117,1987,1987-01-01,0.879713
WAVA,WAVA,1,45.67664,-122.649114,1987,1987-01-01,0.7868089
WYLI,WYLI,1,42.13224,-104.394135,1987,1987-01-01,NA
WYPO,WYPO,1,44.77592,-108.758948,1987,1987-01-01,NA
WYRI,WYRI,1,43.0281,-108.426538,1987,1987-01-01,0.5498889
WYTO,WYTO,1,42.0815,-104.219912,1987,1987-01-01,NA
ABBI,ABBI,1,49.869621,-111.377099,1988,1987-01-01,0.8650598
ABBR,ABBR,1,50.549506,-111.852109,1988,1988-01-01,0
ABLE,ABLE,1,49.69886,-112.763594,1988,1988-01-01,NA
ABVA,ABVA,1,50.052864,-112.126564,1988,1988-01-01,NA
AZBO,AZBO,1,32.451195,-109.958609,1988,1988-01-01,NA
AZHE,AZHE,1,31.43833,-110.108139,1988,1988-01-01,0
AZKS,AZKS,1,32.12751,-109.752162,1988,1988-01-01,NA
AZSA,AZSA,1,32.81499,-109.680619,1988,1988-01-01,0.4705153
CACH,CACH,1,39.6903,-121.823782,1988,1988-01-01,3.95E-10
CACO,CACO,1,39.2,-122.02,1988,1988-01-01,NA
CAD2,CAD2,1,38.53505,-121.783175,1988,1988-01-01,NA
CADV,CADV,1,38.53782,-121.756973,1988,1988-01-01,0.7408075
CAIR,CAIR,1,33.6884,-117.722118,1988,1988-01-01,0.7258417
CAOR,CAOR,1,39.62961,-122.005533,1988,1988-01-01,0.39439
CARI,CARI,1,33.96833,-117.339196,1988,1988-01-01,0.1489149
COFC,COFC,1,40.65167,-104.999168,1988,1988-01-01,0.6111986
COFR,COFR,1,39.17892,-108.700073,1988,1988-01-01,0.7371769
IDKI,IDKI,1,42.55103,-114.340004,1988,1988-01-01,0.8757665
IDNA,IDNA,1,43.664948,-116.520451,1988,1988-01-01,NA
IDP2,IDP2,1,43.80256,-116.944202,1988,1988-01-01,NA
IDPA,IDPA,1,43.66495,-116.520451,1988,1988-01-01,0.8682789
IDTF,IDTF,1,42.6065,-114.504587,1988,1988-01-01,0.8843784
