"Year","Y0","Heritability","Race"
1985,2,0.5030596,"Mesoamerican"
1985,2,0.07320717,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,0.196565,"Mesoamerican"
1985,2,0.2420627,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,0.5319741,"Mesoamerican"
1985,2,0.2470374,"Mesoamerican"
1985,2,0.4868776,"Mesoamerican"
1985,2,0.7493908,"Mesoamerican"
1985,2,0.2568792,"Mesoamerican"
1985,2,0.6113153,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,0.6775256,"Mesoamerican"
1985,2,0.694089,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,0.6640602,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,0,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,0.8119199,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,0.8845246,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,0.002334712,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,0.04872679,"Mesoamerican"
1985,2,0.2222884,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,0.857376,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,0.6022337,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,0,"Mesoamerican"
1985,2,0.6014091,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,0,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,NA,"Mesoamerican"
1985,2,0,"Nueva Granada"
1985,2,0,"Nueva Granada"
1985,2,0,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,0.2406039,"Nueva Granada"
1985,2,0.006475555,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,0,"Nueva Granada"
1985,2,0.3430228,"Nueva Granada"
1985,2,0,"Nueva Granada"
1985,2,0,"Nueva Granada"
1985,2,0.2297838,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,0,"Nueva Granada"
1985,2,0.8730456,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,0.4442638,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,0.636231,"Nueva Granada"
1985,2,0.04529716,"Nueva Granada"
1985,2,1.63e-10,"Nueva Granada"
1985,2,0,"Nueva Granada"
1985,2,0,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,0.4515668,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,0.7261877,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,5.86e-18,"Nueva Granada"
1985,2,0.6145373,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,0.6951481,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,0.4111513,"Nueva Granada"
1985,2,0.4201986,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,9.16e-10,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1985,2,NA,"Nueva Granada"
1986,3,0.8046939,"Durango"
1986,3,0.5905523,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,0.6218353,"Durango"
1986,3,0.09479318,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,0.4509439,"Durango"
1986,3,0.2140152,"Durango"
1986,3,0.07411692,"Durango"
1986,3,0.6483105,"Durango"
1986,3,0.5032603,"Durango"
1986,3,0.637755,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,0.5415513,"Durango"
1986,3,0,"Durango"
1986,3,NA,"Durango"
1986,3,0.6384526,"Durango"
1986,3,0.4037323,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,0.2710866,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,0.6332036,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,2.45e-17,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,0,"Durango"
1986,3,5.78e-07,"Durango"
